Name,Phone,URL,Square Feet Total,Neighborhood,Organization Type,Dominant Discipline,Year of Occupation,Rent vs Own,Age of Current Building,Length of Lease (Date), Year Organization Founded,Number of Past Facilities,Stages and Theaters,Stage & Theater Seats ,Gallery Space,Gallery Square Feet,ADA Compliant,Available Parking,Street Presence,Rental Space ,Alcohol Sales,Organization Mission,Funded by A&C,Funded by 4Culture,"Stability Index (5=very stable, 1=very uncertain)","Control Index (5=very in control, 1 = very out of control) ",Constituency over 50% one race,Specific Demographics and Community,Organization Leadership,Organization Artists,Closed Date,Closed?,Address,Location,Latitude,Longitude
Choeizan Enkyoji Nichiren Buddhist Temple,(206) 356-7405,www.seattlebuddhist.org,1200,International,Y,Arts/Cultural Training or Education,2010,R,1901,None,2010,0,0,0,N,0,N,0,N,,N,,N,,3,,,,,,,0,501 S Jackson St Suite 202 Seattle WA 98104,"(47.5989593, -122.3271163)",47.5989593,-122.3271163
Roseanne's School of Dance,,,,,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,,,,,,,,0,3116 W Smith St Seattle WA 98199â€Ž,"(47.641296, -122.39782)",47.641296,-122.39782
University of Washington Built Environment Library,,,,,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,,,,,,,,0,3549 15th Avenue NE Seattle WA 98105,"(47.66853, -122.31189)",47.66853,-122.31189
98.1 Classical KING FM,206-691-2981,KING.org,4000,Queen Anne,Y,Music,2001,R,1964,,1948,1,0,,N,,Y,0,Y,N,N,,,,4,,,,,,,0,10 Harrison Street Suite 100 Seattle 98109,"(47.622152, -122.356531)",47.622152,-122.356531
Soul Cat Guitars,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,1998 Western Ave Seattle WA 98126,"(47.61033, -122.343685)",47.61033,-122.343685
B L M F Literary Saloon,,,,Downtown,,Literary,,,,,,,,,,,,,,,,,,,,,,,,,,0,1501 Pike Pl #322 Seattle WA 98101,"(47.608707, -122.341049)",47.608707,-122.341049
Conrow Porcelain Studio,,,,,,Visual,,,,,,,,,,,,,,,,,,,,,,,,,,0,1429 34th Ave Seattle WA 98122,"(47.613737, -122.2895678)",47.613737,-122.2895678
Jo Ann Fabrics and Crafts Ballard,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,2217 NW 57th St Seattle WA 98107,"(47.669819, -122.385689)",47.669819,-122.385689
Glasshouse Studios,,,,,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,,,,,,,,0,311 Occidental Ave S Seattle WA 98104,"(47.5997045, -122.3331303)",47.5997045,-122.3331303
Martin Blank Studios,,,,,,Visual,,,,,,,,,,,,,,,,,,,,,,,,,,0,4407 6th Avenue Northwest Seattle WA 98107,"(47.661133, -122.364212)",47.661133,-122.364212
Q,(206) 352-2525,www.qcafe.org,2500,Interbay,Y,Visual,2002,R,1977,2014,2002,0,0,0,Y,100,,0,Y,Y,N,,N,,3,,,,,,,0,3223 15th Ave W Seattle WA 98119,"(47.64922085, -122.3770904)",47.64922085,-122.3770904
Orbit Audio,(206) 381-1244,www.orbitaudiorocks.com,2200,Pioneer Square,N,Music,2001,R,1910,2018,1993,2,0,0,N,0,,,N,N,N,,N,,4,,,,,,,0,219 1st Ave S Seattle WA 98104,"(47.6002492, -122.3346249)",47.6002492,-122.3346249
Rainier Dance Center,,,,,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,,,,,,,,0,9264 57th Ave S Seattle WA 98118,"(47.519753, -122.261269)",47.519753,-122.261269
New Century Theatre Company Offices,,,,,,Arts/Cultural Administration or Advocacy,,,,,,,,,,,,,,,,,,,,,,,,,,0,1515 12th Ave Seattle WA 98122,"(47.614429, -122.317253)",47.614429,-122.317253
Stone Soup Theatre/DownStage Theatre,(206) 388-9212,www.stonesouptheatre.org,980,Fremont,Y,Performance,2008,R,,It's month to month.,1996,1,1,50,N,0,Partial,0,Y,Y,N,,N,,3,,,,,,,0,4029 Stone Way N Seattle WA 98103,"(47.6561433, -122.3426065)",47.6561433,-122.3426065
Represent Resonate Resource,(206) 745-0211,www.arrrt.org,120,Capitol Hill,N,Arts/Cultural Training and Advocacy serving under represented and traditionally under resourced local artists.,2020,R,1990,2022,2020,,0,0,Y,120,N,,Y,No,N,"Represent Resonate Resource aka aRRRt - nonprofit 501(c)3 public charity empowers underrepresented/resourced artists to exhibit and sell artworks while cultivating connections within the local community and beyond. Visit aRRRt.org/give to support this collaborative, professional & creative advocacy platform empowering artists’ self-determinations about exhibition collaborations, community workshops, and equipping themselves, art space, patrons, and supporters to represent them and their work respectfully within culturally relevant contexts.",P,No,5,4,We serve under represented and traditionally under resourced local artists.,We serve under represented and traditionally under resourced local artists.,Yes,Yes,,,"1633 Bellevue Ave, Suite C","(47.616089, -122.327157)",47.616089,-122.327157
Scarecrow Video,,,,,,Cinema,,,,,,,,,,,,,,,,,,,,,,,,,,0,5030 Roosevelt Way NE Seattle WA 98105,"(47.66592, -122.317085)",47.66592,-122.317085
Center for Wooden Boats South Lake Union,(206) 382-2628,www.cwb.org,4000,South Lake Union,Y,Heritage,1983,R,1982,2013,1977,1,0,0,Y,784,Partial,18,N,Y,Y,,Y,,1,,,,,,,0,1010 Valley Street Seattle WA 98109,"(47.62648, -122.3357295)",47.62648,-122.3357295
New Foundation,(206) 512-7247,www.thenewest.org,1800,Central District,Y,Visual,2012,R,1919,2014,2011,0,0,0,N,0,Partial,,Y,N,N,,N,,5,,,,,,2016-05-01T00:00:00.000,1,312 2nd Ave South Seattle WA,"(47.599537, -122.331177)",47.599537,-122.331177
Art Institute of Seattle,(206) 448-6600,www.artinstitutes.edu/seattle,100167,Belltown,N,Arts/Cultural Training or Education,1983,R,,2026,1946,2,0,0,Y,1600,Y,0,Y,N,Y,,N,,4,,,,,,,0,2323 Elliott Ave Seattle WA 98121,"(47.6122895, -122.3491939)",47.6122895,-122.3491939
University of Washington Husky Union Building,(206) 543-8191,www.hub.washington.edu,262000,University District,Other,Multi-use,2012,Other,2012,,1949,1,1,392,N,0,Y,0,N,Y,N,,N,,5,,,,,,,0,4001 West Stevens Way NE Seattle WA 98195,"(47.652168, -122.306648)",47.652168,-122.306648
Unique Art Framing & Gallery,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,3429 Airport Way South Seattle WA 98134,"(47.572744, -122.322579)",47.572744,-122.322579
Tractor Tavern,(206) 789-3599,www.tractortavern.com,4000,Ballard,N,Music,1993,R,1910,,1993,0,1,299,N,0,Partial,0,Y,N,Y,,N,,4,,,,,,,0,5213 Ballard Ave NW Seattle WA 98107,"(47.6657095, -122.3828003)",47.6657095,-122.3828003
Ethiopian Community Center,,,,,,Community Center,,,,,,,,,,,,,,,,,,,,,,,,,,0,8323 Rainier Ave South Seattle WA 98118,"(47.528648, -122.270409)",47.528648,-122.270409
Mike and Mike's Guitar Bar,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,2418 NW 80th St Seattle WA 98117,"(47.68682, -122.388387)",47.68682,-122.388387
Egyptian Theater,,,,,,Cinema,,,,,,,,,,,,,,,,,,,,,,,,,,0,805 East Pine St Seattle WA 98122,"(47.6149531, -122.3217473)",47.6149531,-122.3217473
Seattle Atelier,,,,,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,,,,,,,,0,1426 S Jackson St Seattle WA 98144,"(47.5994698, -122.3127638)",47.5994698,-122.3127638
Martyr Sauce,(206) 624-0495,www.martyrsauce.com,110,Pioneer Square,Other,Performance,2012,R,1900,2016,2013,0,0,,Y,,N,0,Y,N,N,,N,,2,,,,,,,0,122 S Washington St. Seattle WA 98104,"(47.60089, -122.333385)",47.60089,-122.333385
Bherd Studios,(206) 234-8348,www.bherdstudios.com,1000,Greenwood,N,Visual,2011,R,,2015,2006,2,0,0,,,N,20,N,N,N,,N,,2,,,,,,,0,312 N. 85th St. Suite 101 Seattle WA 98103,"(47.69077345, -122.3549791)",47.69077345,-122.3549791
"Igimo Art Station, LLC",(206) 760-3797,www.igimo.com,632,Columbia City,N,Arts/Cultural Training or Education,2015,R,1960,2016,2014,1,0,0,I don't know.,0,Y,2,Y,N,I don't know.,,N,,5,,,,,,,0,"4739 Rainier Ave S, Seattle, WA 98118","(47.559563, -122.286736)",47.559563,-122.286736
Platform Gallery in Tashiro Kaplan,(206) 323-2808,www.platformgallery.com,,Pioneer Square,N,Visual,2004,R,1900,,2004,0,0,0,Y,800,Partial,0,Y,N,N,,N,,5,,,,,,,0,114 3rd Ave S Seattle WA 98104,"(47.601161, -122.3300592)",47.601161,-122.3300592
Woodcraft of Seattle,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,5963 Corson Ave. S Seattle WA 98108,"(47.548363, -122.321178)",47.548363,-122.321178
Peel Studios,,,,,,Studios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barsuk Records,,,,Queen Anne,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,217 W. Galer St Seattle WA 98119,"(47.6321308, -122.3599365)",47.6321308,-122.3599365
Museum of History and Industry (MOHAI),(206) 324-1126,www.mohai.org,52000,South Lake Union,Y,Heritage,2011,O,1942,,1914,1,2,100,Y,26000,Y,9,N,Y,N,,Y,,5,,,,,,,0,860 Terry Ave N Seattle WA 98109,"(47.6275898, -122.3369252)",47.6275898,-122.3369252
Davidson Galleries,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,313 Occidental Ave S,"(47.59954, -122.333271)",47.59954,-122.333271
Seattle Public Library Capitol Hill,(206) 684-4715,www.spl.org,11215,Capitol Hill,Y,Literary,1952,Other,2003,0,1913,1,0,0,N,0,Y,,Y,Y,Y,,Y,,5,,,,,,,0,425 Harvard Ave E Seattle WA 98102,"(47.6229428, -122.3223317)",47.6229428,-122.3223317
Seattle Public Library Queen Anne,(206) 386-4227,www.spl.org,7931,Queen Anne,Y,Literary,1913,Other,1914,0,1913,1,0,0,N,0,Y,,Y,Y,Y,,Y,,5,,,,,,,0,400 W. Garfield St. Seattle WA 98119,"(47.6338273, -122.3627291)",47.6338273,-122.3627291
Versatile Arts,(866) 887-5256,www.versatilearts.net,3000,Greenwood,N,Studios,2008,R,,2017,2007,1,0,0,N,0,Partial,0,Y,Y,N,,N,,4,,,,,,,0,7601 Greenwood Ave N Suite 103 Seattle WA 98103,"(47.6841406, -122.3555094)",47.6841406,-122.3555094
Earl Harper Studios,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,5531 Airport Way S Seattle WA 98108,"(47.552368, -122.320488)",47.552368,-122.320488
Black Box Operations 12th Avenue Arts,(206) 566-6112,www.blackboxoperations.org,5000,Capitol Hill,Y,Performance,2015,R,2014,2030,2013,0,2,230,N,,Y,0,I don't know.,N,Y,,N,,2,,,,,,,0,1620 12th Ave Suite 101 Seattle WA 98122,"(47.5324205, -122.3249576)",47.5324205,-122.3249576
Indie Genius Media,(425) 772-3846,www.indiegeniusmedia.com,648,North Rainier,Y,Visual,2017,R,2014,2023,2015,,0,0,Y,648,Y,,Y,Yes,N,Indie Genius Media utilizes high end video and film production to tell the stories of marginalized communities and voices.,C,No,5,5,"People of Color, Third World Diaspora","People of Color, Third World Diaspora",Yes,Yes,,,2915 Rainier Ave S Apt #306,"(47.577065, -122.297598)",47.577065,-122.297598
Town Hall,(206) 652-4255,www.townhallseattle.org,37000,First Hill,Y,Multi-use,1999,O,1916,0,1999,0,3,1300,N,0,Y,5,Y,Y,Y,,Y,,5,,,,,,,0,1119 8th Ave Seattle WA 98101,"(47.6090096, -122.3299408)",47.6090096,-122.3299408
studio e gallery,206.762.3322,studioegallery.net,1990,,N,Visual,4,Own,,0000,2014,0,,,N,1900,Y,,Y,No,N,"With a reach that is international as well as local, studio e is a labor of love, something of a commercial gallery with the beating heart (and creative flexibility of) an alternative space.",N,No,5,5,Pacific Nortwest Community,Pacific Nortwest Community,Yes,Yes,,,609 S. Brandon St,"(47.55391, -122.326409)",47.55391,-122.326409
RE Welch Gallery,(206) 264-8141,www.rewelch.com,2000,Downtown,N,Visual,2007,R,1940,2016,2006,0,0,0,Y,2000,Partial,,Y,N,Y,,N,,4,,,,,,,0,1214 1st Ave Seattle WA 98101,"(47.6065659, -122.3374584)",47.6065659,-122.3374584
Seattle Teaching Artist Network,,,,,,Arts/Cultural Administration or Advocacy,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
The Legacy Ltd,(206) 624-6350,www.thelegacyltd.com,1250,Downtown,N,Visual,1982,R,1892,2015,1932,2,0,0,Y,800,Partial,0,Y,N,N,,N,,3,,,,,,,0,1003 1st Ave Seattle WA 98104,"(47.6048267, -122.336745)",47.6048267,-122.336745
Off the Wall School of Music,,,,,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,,,,,,,,0,4509 Midvale Ave N Seattle WA 98103,"(47.661632, -122.34377)",47.661632,-122.34377
Golden Age Collectibles,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,1501 Pike Pl #401 Seattle WA 98101,"(47.608707, -122.341049)",47.608707,-122.341049
Urban Work Lofts,,,,,,Studios,,,,,,,,,,,,,,,,,,,,,,,,,,0,918 S Horton St Seattle WA 98134,"(47.57419, -122.321154)",47.57419,-122.321154
St. James Cathedral,"804 9th Ave Seattle, WA 98104",,,,,Multi-use,,,,,,,,,,,,,,,,,,,,,,,,,,0,,"(47.607586, -122.325935)",47.607586,-122.325935
Arcane Comics & More,,,,Haller Lake,,Literary,,,,,,,,,,,,,,,,,,,,,,,,,,0,"15202 Aurora Ave N, Shoreline WA 98133","(47.73945, -122.34394)",47.73945,-122.34394
Georgetown Music Store,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,6111 13th Ave S Seattle WA 98108,"(47.548225, -122.316483)",47.548225,-122.316483
All Metal Arts Hazardfactory,(206) 200-9496,www.allmetalarts.org,3000,South Park,N,Visual,2007,R,1985,2018,2000,2,0,,N,,I don't know.,20,Y,N,N,,N,,2,,,,,,,0,7800 7th Ave South Seattle WA 98108,"(47.53246, -122.32496)",47.53246,-122.32496
Filipino American National Historical Society,,,,,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,,,,,,,,0,810 18th Ave #100 Seattle WA 98122,"(47.60949, -122.308904)",47.60949,-122.308904
Circle of Art Studios,,,,,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,,,,,,,,0,2821 Thorndyke Ave W Seattle WA 98199,"(47.645466, -122.383057)",47.645466,-122.383057
Seattle Glassblowing Studio,(206) 448-2181,www.seattleglassblowing.com,9500,Belltown,N,Arts/Cultural Training or Education,1991,O,1946,0,1987,2,0,0,Y,1500,Y,0,Y,,N,,N,,5,,,,,,,0,2227 5th Ave Seattle WA 98121,"(47.6155804, -122.3428879)",47.6155804,-122.3428879
Hobby Lobby,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,3200 Aurora Ave N Seattle Wa 98133,"(47.754509, -122.34565)",47.754509,-122.34565
Jupiter Studios,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,4000 Wallingford Ave North Seattle WA 98013,"(47.6558318, -122.3360715)",47.6558318,-122.3360715
Cornish College of the Arts-Kerry Hall/Poncho Hall,,,,,,Performance,,,,,,,,,,,,,,,,,,,,,,,,,,0,710 E Roy St Seattle WA 98102,"(47.6253347, -122.3230672)",47.6253347,-122.3230672
Artist & Craftsman Supply,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,4350 8th Ave NE Seattle WA 98105,"(47.6599873, -122.319659)",47.6599873,-122.319659
Seattle Center Key Arena,(206) 684-7200,www.keyarena.com,130000,Seattle Center in Uptown,N,Performance,1998,Other,1962,0,1962,0,1,16000,N,0,Y,60,Y,Y,Y,,N,,4,,,,,,,0,305 Harrison Street Seattle WA 98109,"(47.62215, -122.355423)",47.62215,-122.355423
Kirsten Gallery,,,,,,Visual,,,,,,,,,,,,,,,,,,,,,,,,,,0,5320 Roosevelt Way NE Seattle WA 98105,"(47.6677253, -122.3170573)",47.6677253,-122.3170573
Columbia City Theater,(206) 722-3009,www.columbiacitytheater.com,1820,Columbia City,N,Music,2010,O,1917,0,2010,0,1,120,,,Partial,0,Y,Y,Y,,N,,4,,,,,,,0,4916 Rainier Ave S Seattle WA 98118,"(47.5573208, -122.2844836)",47.5573208,-122.2844836
Capitol Hill Block Party,,,,,,Music,,,,,,,,,,,,,,,,,,,,,,,,,,0,1122 E Pike St Seattle WA 98122,"(47.614273, -122.317245)",47.614273,-122.317245
South Seattle Community College Chinese Gardens,(206) 934-5219,www.seattlechinesegarden.org,200376,West Seattle,Y,Heritage,2011,O,2010,0,1991,0,0,0,N,0,Partial,10,N,Y,,,,,2,,,,,,,0,6000 16th Ave SW Seattle WA 98106,"(47.5510384, -122.3518643)",47.5510384,-122.3518643
Left Bank Books,,,,,,Literary,,,,,,,,,,,,,,,,,,,,,,,,,,0,92 Pike St Seattle WA 98101,"(47.6088801, -122.3403995)",47.6088801,-122.3403995
Tashiro Kaplan Artists Lofts,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,115 Prefontaine Place S,"(47.601117, -122.329815)",47.601117,-122.329815
SURFincubator II,(206) 777-1177,www.surfincubator.com,1800,Downtown,N,Multi-use,1990,R,1980,2023,2007,2,1,150,Y,80,Y,0,N,Y,Y,,N,,5,,,,,,,0,999 3rd Ave Suite700 Seattle WA 98104,"(47.605034, -122.334244)",47.605034,-122.334244
Alki Arts,(206) 432-9936,www.alkiarts.com,6000,Downtown,N,Visual,2012,R,,2014,2009,2,0,0,Y,6000,,0,Y,Y,Y,,N,,2,,,,,,,0,55 University Seattle WA 98101,"(47.6060923, -122.3395432)",47.6060923,-122.3395432
826 Seattle/ The Greater Seattle Bureau of Fearless Ideas,(206) 725-2625,www.826seattle.org,4608,Greenwood,Y,Arts/Cultural Training or Education,2004,R,1920,2020,2005,0,0,0,N,0,N,0,Y,N,N,,Y,,5,,,,,,,0,8414 Greenwood Ave N Seattle WA 98103,"(47.6902621, -122.3549016)",47.6902621,-122.3549016
Bahia In Motion,(206) 819-3334,www.bahiainmotion.com,1250,Fremont,N,Arts/Cultural Training or Education,2008,R,1920,2018-2020,2008,2,0,0,Y,300,N,1,Y,Y,N,,N,,4,,,,,,,0,418 N 35th St Seattle WA 98103,"(47.65147, -122.3536)",47.65147,-122.3536
ProletariYacht Club,206-799-1180,acaravan.com,1064,West Seattle,N,Multi-use,2015,R,1971,,2009,1,1,40,Y,500,Partial,4,Y,Y,Y,,N,,5,,,,,,,0,4316 SW Othello Seattle Wa 98136,"(47.538437, -122.38826)",47.538437,-122.38826
Gallery Erato,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,309 1st Ave S,"(47.599679, -122.334565)",47.599679,-122.334565
Bridge Productions,2066975156,,450,Georgetown,N,Literary,2012,Rent,1907,2018,2010,1,0,0,Y,450,N,,N,No,N,,N,No,1,2,,,N/A,Yes,,,6007 12th Ave S,,,
Arts in Motion,,,,,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,,,,,,,,0,4730 32nd Ave S Seattle WA,"(47.559883, -122.290634)",47.559883,-122.290634
WA State Holocaust Ed Center,(206) 774-2201,www.wsherc.org,6000,Downtown,Y,Multi-use,,O,2006,0,1989,1,0,0,,,Y,0,Y,N,,,Y,,5,,,,,,,0,2031 3rd Ave Seattle WA 98121,"(47.6128253, -122.3422256)",47.6128253,-122.3422256
Jamtown,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,12729 Lake City Way NE Seattle WA 98125,"(47.722147, -122.2941323)",47.722147,-122.2941323
Elderwise,(206) 774-6606,www.elderwise.org,350,First Hill,Y,Visual,2000,R,1965,,1997,2,0,0,I don't know.,0,Y,20,N,N,I don't know.,,N,,4,,,,,,,0,900 University St Seattle WA 98101,"(47.610928, -122.329353)",47.610928,-122.329353
Empty Sea Studios,(206) 329-9442,www.elcentrodelaraza.com,1400,Phinney Ridge,N,Performance,2009,R,1914,2016,2005,1,1,40,N,0,N,0,Y,Y,Y,,N,,3,,,,,,,0,2524 16th Ave S Seattle WA 98144,"(47.5803398, -122.3112978)",47.5803398,-122.3112978
M. Rosetta Hunter Art Gallery - Seattle Central Community College,,,,,,Visual,,,,,,,,,,,,,,,,,,,,,,,,,,0,1701 Broadway Seattle WA 98122,"(47.6169084, -122.321152)",47.6169084,-122.321152
Northwest Woodworkers Gallery,(206) 625-0542,www.nwwoodgallery.com,4000,Belltown,Y,Visual,2011,R,,2015,1980,4,0,0,Y,4050,N,0,Y,N,N,,N,,3,,,,,,,0,2111 1st Ave Seattle WA 98121,"(47.6119449, -122.344463)",47.6119449,-122.344463
Degenerate Art Ensemble,,,,,,Performance,,,,,,,,,,,,,,,,,,,,,,,,,,0,210 NW Bowdoin Pl Seattle WA 98107,"(47.6550814, -122.3596788)",47.6550814,-122.3596788
Seattle Presents: A Gallery,(206) 733-9955,www.seattle.gov/arts/publicart/seattle_presents_gallery.asp,320,Downtown,Government,Visual,2014,R,1990,2016,1971,5,0,,Y,320,Y,0,Y,N,N,,Y,,3,,,,,,,0,700 5th Avenue Suite 401 Seattle WA 98104,"(47.5994156, -122.3305147)",47.5994156,-122.3305147
Wing Luke Museum,(206) 623-5124,www.wingluke.org,58000,International District,Y,Visual,2007,O,1910,0,1967,2,1,59,Y,1090,Y,0,Y,N,N,,Y,,5,,,,,,,0,719 S King St Seattle WA 98104,"(47.59823, -122.32286)",47.59823,-122.32286
Moonphoto,(206) 783-3377,www.moonphotolab.com,1500,Greenwood,N,Visual,1974,R,1926,2016,1974,1,0,0,Y,180,I don't know.,2,Y,N,N,,N,,4,,,,,,,0,7704 Greenwood Ave. N. Seattle WA 98103,"(47.684927, -122.355308)",47.684927,-122.355308
Storefronts Seattle/Shunpike,(206) 905-1026,www.shunpike.org,26600,Belltown,Y,Multi-use,2007,R,1889,2013,2000,0,0,0,N,0,N,1,N,N,N,,Y,,2,,,,,,,1,2324 1st Ave # 112 Seattle WA 98121,"(47.6139909, -122.3472372)",47.6139909,-122.3472372
Francine Seders Gallery (CLOSED),,,,,,Visual,,,,,,,,,,,,,,,,,,,,,,,,,2013-12-31T00:00:00.000,1,6701 Greenwood Ave N Seattle WA 98103,"(47.6779185, -122.3556352)",47.6779185,-122.3556352
Jet City Improv,(206) 352-8291,www.jetcityimprov.org,4250,University District,Y,Performance,2003,R,1937,No date.,1992,3,1,132,N,,Y,1,Y,Y,Y,,Y,,5,,,,,,,0,5510 University Way NE Seattle WA 98105,"(47.6688694, -122.3126674)",47.6688694,-122.3126674
Velocity Dance Center,(206) 325-8773,www.velocitydancecenter.org,5000,Capitol Hill,Y,Performance,2010,R,,2018,1995,2,1,98,N,0,Y,0,Y,Y,N,,Y,,5,,,,,,,0,1621 12th Ave Seattle WA 98122,"(47.6156632, -122.3171739)",47.6156632,-122.3171739
The White Rabbit (CLOSED),,,,,,Music,,,,,,,,,,,,,,,,,,,,,,,,,2016-12-13T00:00:00.000,1,513 N 36th St Seattle WA 98103,"(47.6513564, -122.3515985)",47.6513564,-122.3515985
Seattle Public Library Montlake,(206) 684-4720,www.spl.org,5652,Montlake,Y,Literary,2005,Other,2006,0,1913,0,0,0,N,0,Y,,Y,Y,Y,,Y,,5,,,,,,,0,2401 24th Ave E Seattle WA 98112,"(47.6404243, -122.3023631)",47.6404243,-122.3023631
Highland Park Improvement Club,(206) 762-9825,www.hpic1919.org,3000,Highland Park,Y,Multi-use,1919,O,1970,,1919,0,1,100,N,0,Partial,15,Y,Y,Y,,N,,3,,,,,,,0,1116 SW Holden St Seattle WA 98106,"(47.5342216, -122.3500717)",47.5342216,-122.3500717
Pilchuck Glass School Office (CLOSED/MOVED),,,,,,Arts/Cultural Administration or Advocacy,,,,,,,,,,,,,,,,,,,,,,,,,2016-10-14T00:00:00.000,1,430 Yale Ave N Seattle WA 98109,"(47.6228012, -122.3302142)",47.6228012,-122.3302142
Path with Art,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,312 2nd Ave S,"(47.599538, -122.331175)",47.599538,-122.331175
Baltic Room,(206) 625-4444,http://www.balticroom.com/,,Capitol Hill,,Music,,,,,,,,,,,,,,,,,,,,,,,,,,0,1207 Pine St Seattle WA 98101,"(47.6149287, -122.3282665)",47.6149287,-122.3282665
Silver Platters Northgate,,,,,,Music,,,,,,,,,,,,,,,,,,,,,,,,,,0,9560 1st Ave NE Seattle WA 98115,"(47.698273, -122.328456)",47.698273,-122.328456
Drygoods Design,(206) 535-6950,https://drygoodsdesignonline.com/,,Pioneer Square,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,301 Occidental Ave S Seattle 98104,"(47.599903, -122.332888)",47.599903,-122.332888
The Comedy Underground,,,,,,Performance,,,,,,,,,,,,,,,,,,,,,,,,,,0,"109 S. Washington St Seattle, WA 98104","(47.60089, -122.333879)",47.60089,-122.333879
Gallery 1412,,,,,,Performance,,,,,,,,,,,,,,,,,,,,,,,,,,0,1412 18th Ave Seattle WA 98122,"(47.6133227, -122.3086811)",47.6133227,-122.3086811
Chihuly Garden and Glass,,,,,,Visual,,,,,,,,,,,,,,,,,,,,,,,,,,0,305 Harrison St Seattle WA 98109,"(47.62056855, -122.350491)",47.62056855,-122.350491
George Center for Community,(206) 362-3325,www.georgecfc.org,10000,Lake City Way,Y,Multi-use,2011,O,1959,,2011,0,1,100,Y,1500,Partial,50,Y,Y,Y,,N,,4,,,,,,,0,2212 NE 125th St Seattle WA 98125,"(47.7199293, -122.3050328)",47.7199293,-122.3050328
Seattle Aquarium,,,,,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,,,,,,,,0,1483 Alaskan Way Seattle WA 98101,"(47.6017992, -122.3366083)",47.6017992,-122.3366083
Stage One Theatre- North Seattle Community College,(206) 934-3708,www.northseattle.edu,,Northgate,Y,Performance,1970,O,1970,,1970,0,2,620,Y,,Y,1001,Y,Y,N,,N,,4,,,,,,,0,9600 College Way N Seattle WA,"(47.7030576, -122.3337619)",47.7030576,-122.3337619
Martin Luther King Jr. Family Arts Mentoring Enrichment Community Center,(206) 257-5572,,27000,Madison Valley,N,Arts/Cultural Training or Education,2011,R,1913,0000,2010,,1,150,N,,Y,,Y,Yes,N,"To support social, cultural, economic, and community service for seattle residents of all ages, races,cultural and ethnicities.",N,No,5,5,General,General,N/A,N/A,,,"3201 E. Republican  Street, Seattle, WA 98112","(47.62297, -122.290768)",47.62297,-122.290768
Glassybaby Madrona,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,3406 East Union St Seattle WA 98122,"(47.61311, -122.288887)",47.61311,-122.288887
LUCID Lounge,(206) 402-3042,www.lucidseattle.com,1100,University District,N,Performance,2008,R,2000,2018,2008,0,1,50,Y,250,Y,0,Y,Y,Y,,N,,5,,,,,,,0,5241 University Way NE Seattle WA 98105,"(47.6676256, -122.3132962)",47.6676256,-122.3132962
Theater Schmeater,(206) 324-5801,www.schmeater.org,,Belltown,Y,Performance,,R,,,1991,2,1,48,Y,,Y,0,Y,Y,Y,,Y,,,,,,,,,0,"2125 3rd Ave, Seattle WA  98121","(47.614211, -122.325396)",47.614211,-122.325396
Laguna,(206) 682-6162,www.lagunapottery.com,2000,Pioneer Square,N,Visual,1997,R,1915,2025,1988,3,0,,Y,2000,Y,0,Y,N,N,,N,,5,,,,,,,0,116 S. Washington St Seattle WA 98104,"(47.601051, -122.333443)",47.601051,-122.333443
